Dose Layer
1.000 0
1.032 1
1.063 2
1.095 3
1.127 4
1.158 5
1.190 6
1.222 7
1.253 8
1.285 9
1.316 10
1.348 11
1.380 12
1.411 13
1.443 14
1.475 15
1.506 16
1.538 17
1.570 18
1.601 19
1.633 20
1.665 21
1.696 22
1.728 23
1.759 24
1.791 25
1.823 26
1.854 27
1.886 28
1.918 29
1.949 30
1.981 31
2.013 32
2.044 33
2.076 34
2.108 35
2.139 36
2.171 37
2.203 38
2.234 39
2.266 40
2.297 41
2.329 42
2.361 43
2.392 44
2.424 45
2.456 46
2.487 47
2.519 48
2.551 49
2.582 50
2.614 51
2.646 52
2.677 53
2.709 54
2.741 55
2.772 56
2.804 57
2.835 58
2.867 59
2.899 60
2.930 61
2.962 62
2.994 63
3.025 64
3.057 65
3.089 66
3.120 67
3.152 68
3.184 69
3.215 70
3.247 71
3.278 72
3.310 73
3.342 74
3.373 75
3.405 76
3.437 77
3.468 78
3.500 79
